onset_time,offset_time,IPT,note
1.102395833,4.2819375,boxian,74
4.2819375,4.537229167,boxian,73
4.537229167,4.804125,boxian,74
4.804125,5.082625,boxian,73
5.082625,5.384333333,boxian,71
5.384333333,8.842375,chanyin,71
8.842375,9.944770833,boxian,74
9.944770833,10.74545833,chanyin,73
10.74545833,11.0355625,boxian,74
11.0355625,11.60416667,chanyin,73
11.60416667,12.17277083,chanyin,71
12.17277083,12.71816667,boxian,69
12.71816667,13.32158333,boxian,71
13.32158333,13.60008333,chanyin,73
13.60008333,13.90179167,boxian,74
13.90179167,14.57483333,chanyin,73
14.57483333,18.82195833,chanyin,71
18.82195833,19.62264583,chanyin,61
19.62264583,19.91275,boxian,62
19.91275,20.45814583,chanyin,61
20.45814583,21.03835417,chanyin,59
21.03835417,21.6185625,boxian,57
21.6185625,22.22197917,boxian,59
22.22197917,22.5236875,chanyin,61
22.5236875,22.8021875,boxian,62
22.8021875,23.48683333,chanyin,61
23.48683333,25.71483333,boxian,59
25.71483333,26.27183333,boxian,57
26.27183333,26.87525,boxian,59
26.87525,27.1189375,boxian,61
27.1189375,27.3974375,boxian,62
27.3974375,28.01245833,chanyin,61
28.01245833,32.38722917,chanyin,59
32.38722917,33.25754167,boxian,62
33.25754167,33.53604167,boxian,64
33.53604167,34.09304167,chanyin,61
34.09304167,34.7080625,chanyin,59
34.7080625,37.08691667,boxian,66
37.08691667,37.95722917,boxian,62
37.95722917,38.27054167,boxian,66
38.27054167,38.8855625,boxian,64
38.8855625,39.46577083,chanyin,61
39.46577083,41.90264583,chanyin,59
41.90264583,44.36272917,chanyin,71
44.36272917,45.20983333,chanyin,71
45.20983333,45.47672917,boxian,69
45.47672917,46.03372917,boxian,66
46.03372917,46.60233333,boxian,64
46.60233333,50.94229167,boxian,64
50.94229167,51.75458333,chanyin,66
51.75458333,51.98666667,boxian,69
51.98666667,52.54366667,boxian,64
52.54366667,53.13547917,boxian,66
53.13547917,55.34027083,chanyin,69
55.34027083,56.17577083,chanyin,66
56.17577083,56.45427083,boxian,69
56.45427083,57.01127083,chanyin,66
57.01127083,57.62629167,boxian,59
57.62629167,59.90070833,chanyin,62
59.90070833,60.9566875,chanyin,61
60.9566875,62.035875,boxian,69
62.035875,63.16147917,shanghua,66
63.16147917,63.706875,boxian,64
63.706875,64.263875,chanyin,61
64.263875,64.84408333,chanyin,59
64.84408333,65.4475,boxian,62
65.4475,69.09120833,boxian,59
69.09120833,70.20520833,boxian,62
70.20520833,72.46802083,boxian,62
72.46802083,73.01341667,chanyin,61
73.01341667,73.5588125,chanyin,59
73.5588125,74.638,shanghua,64
74.638,76.84279167,chanyin,64
76.84279167,77.93358333,boxian,66
77.93358333,80.04554167,boxian,71
80.04554167,80.91585417,chanyin,71
80.91585417,81.17114583,boxian,69
81.17114583,81.69333333,boxian,66
81.69333333,82.25033333,boxian,64
82.25033333,82.83054167,chanyin,64
82.83054167,83.10904167,boxian,66
